player,type,auction_value_26,tier,draftable,auction_price_25,adj_multiplier,flags,score_24,score_25,role_24,role_25,flags_count,display_role,score_bucket,auction_price_25_imputed,auction_value_26_shadow
Yordan Alvarez,hit,33.960796915167094,2.0,True,49.0,0.6930774880646347,,3.6306666666666665,1.402,,,0,,"(1.1, 1.418]",,
Mike Trout,hit,32.57246546476235,2.0,True,22.0,1.4805666120346523,,1.4236666666666666,2.7920000000000003,,,0,,"(2.534, 2.864]",,
Jazz Chisholm Jr.,hit,32.19396751740139,2.0,True,31.0,1.0385150812064965,,2.873333333333333,3.0946666666666665,,,0,,"(2.864, 3.158]",,
Manny Machado,hit,31.982541414542208,2.0,True,32.0,0.999454419204444,,3.360333333333333,3.3566666666666665,,,0,,"(3.158, 4.916]",,
Corey Seager,hit,31.909741181609697,2.0,True,35.0,0.9117068909031342,,3.0523333333333333,2.513333333333333,,,0,,"(2.375, 2.534]",,
Framber Valdez,pit,29.699530516431924,2.0,True,28.0,1.0606975184439973,,2.2365,2.508,starter,starter,0,starter,"(2.375, 2.534]",,
Kodai Senga,pit,28.4234413202934,2.0,True,9.0,3.158160146699266,Injury Baseline Distortion|Role Change,0.2337142857142857,1.2425,reliever,starter,2,starter,"(1.1, 1.418]",,
Max Fried,pit,25.97562658082317,2.0,True,24.0,1.0823177742009658,,2.1745,2.5325,starter,starter,0,starter,"(2.375, 2.534]",,
Cole Ragans,pit,25.48692152917505,2.0,True,30.0,0.8495640509725016,Role Change,2.6625,1.861428571428572,starter,reliever,1,reliever,"(1.709, 1.97]",,
Ozzie Albies,hit,24.90066655828321,2.0,True,22.0,1.131848479921964,,2.0503333333333336,2.591,,,0,,"(2.534, 2.864]",,
Jose Altuve,hit,23.22291316526611,2.0,True,23.0,1.0096918767507004,,2.975,3.0326666666666666,,,0,,"(2.864, 3.158]",,
Kevin Gausman,pit,22.842681258549927,2.0,True,22.0,1.0383036935704513,,2.193,2.361,starter,starter,0,starter,"(2.219, 2.375]",,
Seiya Suzuki,hit,22.726704154234568,2.0,True,21.0,1.0822240073445033,,2.9046666666666665,3.3823333333333334,,,0,,"(3.158, 4.916]",,
Randy Arozarena,hit,22.076433121019107,2.0,True,20.0,1.1038216560509553,,2.6166666666666667,3.16,,,0,,"(3.158, 4.916]",,
Corbin Burnes,pit,21.970091279860167,2.0,True,33.0,0.6657603418139445,,2.5745,0.8535,starter,starter,0,starter,"(0.13999999999999999, 1.1]",,
Luis Castillo,pit,21.88499237638859,2.0,True,22.0,0.9947723807449358,,2.2955,2.2715,starter,starter,0,starter,"(2.219, 2.375]",,
Cody Bellinger,hit,21.41592325552976,2.0,True,19.0,1.1271538555541978,,2.7276666666666665,3.4213333333333336,,,0,,"(3.158, 4.916]",,
Alex Bregman,hit,20.372355742607155,2.0,True,22.0,0.926016170118507,,3.0096666666666665,2.564333333333333,,,0,,"(2.534, 2.864]",,
Xander Bogaerts,hit,20.276023093903884,2.0,True,19.0,1.0671591102054676,,1.963,2.2266666666666666,,,0,,"(2.219, 2.375]",,
Willson Contreras,hit,19.950312049927987,2.0,True,17.0,1.1735477676428228,,2.083,2.806,,,0,,"(2.534, 2.864]",,
Aaron Nola,pit,19.2454035223534,2.0,True,27.0,0.7127927230501258,,2.5835,1.0995,starter,starter,0,starter,"(0.13999999999999999, 1.1]",,
Christian Walker,hit,19.01268216709311,2.0,True,19.0,1.0006674824785848,,2.9963333333333337,3.0003333333333333,,,0,,"(2.864, 3.158]",,
Bailey Ober,pit,18.915684210526315,2.0,True,23.0,0.8224210526315789,,2.375,1.5315,starter,starter,0,starter,"(1.418, 1.709]",,
Christian Yelich,hit,18.4790091684092,2.0,True,14.0,1.319929226314943,,2.0723333333333334,3.398333333333333,,,0,,"(3.158, 4.916]",,
Pete Crow-Armstrong,hit,18.27362831858407,2.0,True,13.0,1.4056637168141592,,1.8833333333333333,3.4113333333333333,,,0,,"(3.158, 4.916]",,
Zac Gallen,pit,17.80477223427332,2.0,True,16.0,1.1127982646420824,,1.844,2.26,starter,starter,0,starter,"(2.219, 2.375]",,
Hunter Greene,pit,17.739532494220395,2.0,True,20.0,0.8869766247110198,,1.9465,1.5065,starter,starter,0,starter,"(1.418, 1.709]",,
Bryan Reynolds,hit,17.555645860424793,2.0,True,19.0,0.9239813610749892,,3.076,2.6083333333333334,,,0,,"(2.534, 2.864]",,
Josh Naylor,hit,17.084493332035432,2.0,True,18.0,0.949138518446413,,3.424333333333333,3.076,,,0,,"(2.864, 3.158]",,
Steven Kwan,hit,16.949554896142434,2.0,True,17.0,0.9970326409495548,,2.4713333333333334,2.456666666666667,,,0,,"(2.375, 2.534]",,
Bryan Woo,pit,16.920893934019155,2.0,True,12.0,1.4100744945015964,,1.4095,2.5655,starter,starter,0,starter,"(2.534, 2.864]",,
Joe Ryan,pit,16.716208637128435,2.0,True,15.0,1.1144139091418956,,1.783,2.191,starter,starter,0,starter,"(1.97, 2.219]",,
Marcus Semien,hit,16.646349484762116,2.0,True,19.0,0.8761236570927429,,3.040666666666666,2.287333333333333,,,0,,"(2.219, 2.375]",,
Robbie Ray,pit,16.491417910447762,2.0,True,9.0,1.832379767827529,Role Change,0.8614285714285714,2.2955,reliever,starter,1,starter,"(2.219, 2.375]",,
Salvador Perez,hit,15.824175824175825,2.0,True,16.0,0.989010989010989,,3.1243333333333334,3.055666666666667,,,0,,"(2.864, 3.158]",,
Anthony Santander,hit,15.354363827549946,2.0,True,24.0,0.6397651594812478,,3.804,1.0633333333333332,,,0,,"(0.13999999999999999, 1.1]",,
Jake Burger,hit,15.270508474576271,2.0,True,18.0,0.8483615819209039,,2.95,2.055333333333333,,,0,,"(1.97, 2.219]",,
Nick Castellanos,hit,14.884008387595188,2.0,True,16.0,0.9302505242246992,,3.0203333333333333,2.599,,,0,,"(2.534, 2.864]",,
Tanner Bibee,pit,14.804799426934098,2.0,True,15.0,0.9869866284622733,,2.0940000000000003,2.0395000000000003,starter,starter,0,starter,"(1.97, 2.219]",,
Will Smith,hit,14.492779783393502,2.0,True,15.0,0.9661853188929002,,2.77,2.5826666666666664,,,0,,"(2.534, 2.864]",,
Spencer Steer,hit,14.421146746654362,2.0,True,15.0,0.9614097831102908,,2.889333333333333,2.666333333333333,,,0,,"(2.534, 2.864]",,
Yainer Diaz,hit,14.272148130507263,2.0,True,15.0,0.9514765420338176,,2.7993333333333337,2.5276666666666667,,,0,,"(2.375, 2.534]",,
Nick Pivetta,pit,13.859223300970871,2.0,True,12.0,1.154935275080906,,1.854,2.4285,starter,starter,0,starter,"(2.375, 2.534]",,
Tyler Glasnow,pit,13.663906414300737,2.0,True,17.0,0.8037592008412198,,1.902,1.1555,starter,starter,0,starter,"(1.1, 1.418]",,
Alec Bohm,hit,13.385884997633696,2.0,True,15.0,0.8923923331755796,,2.817333333333333,2.211,,,0,,"(1.97, 2.219]",,
Ian Happ,hit,12.68103630223723,2.0,True,13.0,0.9754643309413252,,3.158666666666667,3.0036666666666667,,,0,,"(2.864, 3.158]",,
Shea Langeliers,hit,12.611869995289684,2.0,True,12.0,1.0509891662741404,,2.8306666666666667,3.119333333333333,,,0,,"(2.864, 3.158]",,
George Kirby,pit,12.532375556454877,2.0,True,15.0,0.8354917037636584,,2.471,1.658,starter,starter,0,starter,"(1.418, 1.709]",,
Jung Hoo Lee,hit,12.103044086773966,2.0,True,7.0,1.7290062981105667,,0.9526666666666668,2.3416666666666663,,,0,,"(2.219, 2.375]",,
Shane Baz,pit,11.969742813918304,2.0,True,8.0,1.4962178517397882,,0.9915,1.9755,starter,starter,0,starter,"(1.97, 2.219]",,
Brice Turang,hit,11.940287226001512,2.0,True,10.0,1.1940287226001511,,2.205,3.060666666666667,,,0,,"(2.864, 3.158]",,
Ezequiel Tovar,hit,11.698373897332342,2.0,True,15.0,0.7798915931554895,,3.136333333333333,1.7556666666666665,,,0,,"(1.709, 1.97]",,
Merrill Kelly,pit,11.464547677261614,2.0,True,6.0,1.910757946210269,,0.8180000000000001,2.3080000000000003,starter,starter,0,starter,"(2.219, 2.375]",,
Yu Darvish,pit,11.444755680049797,2.0,True,8.0,1.4305944600062246,Role Change,0.918,1.7085714285714286,starter,reliever,1,reliever,"(1.418, 1.709]",,
Brandon Pfaadt,pit,11.405817174515237,2.0,True,12.0,0.9504847645429362,,2.166,1.9515,starter,starter,0,starter,"(1.709, 1.97]",,
Isaac Paredes,hit,11.341810022438295,2.0,True,12.0,0.9451508352031912,,2.6739999999999995,2.3806666666666665,,,0,,"(2.375, 2.534]",,
Freddy Peralta,pit,11.296415004748338,2.0,True,11.0,1.0269468186134854,,2.106,2.2195,starter,starter,0,starter,"(2.219, 2.375]",,
Paul Goldschmidt,hit,11.049857726091798,2.0,True,12.0,0.9208214771743164,,2.694333333333333,2.2676666666666665,,,0,,"(2.219, 2.375]",,
Masyn Winn,hit,10.980152671755723,2.0,True,12.0,0.9150127226463104,,2.62,2.1746666666666665,,,0,,"(1.97, 2.219]",,
Christopher Morel,hit,10.303993130098757,2.0,True,12.0,0.8586660941748963,,2.329,1.6706666666666667,,,0,,"(1.418, 1.709]",,
Mitch Keller,pit,10.01740947075209,2.0,True,10.0,1.001740947075209,,2.154,2.1615,starter,starter,0,starter,"(1.97, 2.219]",,
George Springer,hit,9.897062786310968,2.0,True,8.0,1.237132848288871,,2.474,3.6473333333333335,,,0,,"(3.158, 4.916]",,
Seth Lugo,pit,9.885768500948767,2.0,True,12.0,0.8238140417457306,,2.635,1.7065,starter,starter,0,starter,"(1.418, 1.709]",,
MacKenzie Gore,pit,9.234645274504889,2.0,True,9.0,1.0260716971672097,,1.9945,2.0985,starter,starter,0,starter,"(1.97, 2.219]",,
Tanner Scott,pit,9.174259681093394,2.0,True,10.0,0.9174259681093394,,2.7252361673414307,2.2751686909581648,closer,closer,0,closer,"(2.219, 2.375]",,
Maikel Garcia,hit,9.06576030737402,2.0,True,8.0,1.1332200384217526,,2.2556666666666665,2.8566666666666665,,,0,,"(2.534, 2.864]",,
Zach Eflin,pit,8.539994685091683,2.0,True,12.0,0.7116662237576402,,1.8815,0.7965,starter,starter,0,starter,"(0.13999999999999999, 1.1]",,
Kyle Manzardo,hit,8.38510701545779,2.0,True,5.0,1.677021403091558,,1.121333333333333,2.639666666666667,,,0,,"(2.534, 2.864]",,
Jeffrey Springs,pit,8.344227504244483,2.0,True,5.0,1.6688455008488965,Role Change,0.8414285714285714,1.967,reliever,starter,1,starter,"(1.709, 1.97]",,
Josh Jung,hit,8.238045466422786,2.0,True,6.0,1.373007577737131,,1.2756666666666665,2.227333333333333,,,0,,"(2.219, 2.375]",,
TJ Friedl,hit,8.155957634598412,2.0,True,7.0,1.1651368049426305,,1.8883333333333328,2.512,,,0,,"(2.375, 2.534]",,
J.T. Realmuto,hit,8.111795357650404,2.0,True,8.0,1.0139744197063003,,2.111,2.17,,,0,,"(1.97, 2.219]",,
Brandon Nimmo,hit,8.102283903398536,2.0,True,8.0,1.012785487924817,,3.0503333333333336,3.128333333333334,,,0,,"(2.864, 3.158]",,
Tyler O'Neill,hit,8.084239746204396,2.0,True,11.0,0.7349308860185815,,2.942,1.3823333333333332,,,0,,"(1.1, 1.418]",,
Logan O'Hoppe,hit,8.0441498086386,2.0,True,9.0,0.8937944231820667,,2.4386666666666668,1.9206666666666667,,,0,,"(1.709, 1.97]",,
Brandon Lowe,hit,8.000271407246574,2.0,True,7.0,1.142895915320939,,2.4563333333333333,3.158333333333333,,,0,,"(2.864, 3.158]",,
Nolan Arenado,hit,7.953932151117964,2.0,True,9.0,0.8837702390131071,,2.5940000000000003,1.991,,,0,,"(1.97, 2.219]",,
Sean Manaea,pit,7.745826430482987,2.0,True,9.0,0.8606473811647763,Role Change,2.242,1.6171428571428572,starter,reliever,1,reliever,"(1.418, 1.709]",,
Gabriel Moreno,hit,7.280972597452721,2.0,True,7.0,1.040138942493246,,1.7273333333333334,1.866,,,0,,"(1.709, 1.97]",,
Gleyber Torres,hit,7.1533973029045645,2.0,True,7.0,1.0219139004149378,,2.5706666666666664,2.6833333333333336,,,0,,"(2.534, 2.864]",,
Dansby Swanson,hit,6.400999615532489,2.0,True,6.0,1.0668332692554148,,2.601,2.948666666666667,,,0,,"(2.864, 3.158]",,
Jorge Soler,hit,6.348033373063171,2.0,True,8.0,0.7935041716328963,,2.796666666666667,1.6416666666666666,,,0,,"(1.418, 1.709]",,
Walker Buehler,pit,6.111426188490409,2.0,True,7.0,0.8730608840700584,Role Change,1.7128571428571426,1.278,reliever,starter,1,starter,"(1.1, 1.418]",,
Lane Thomas,hit,6.061698271054099,2.0,True,9.0,0.6735220301171221,,2.3906666666666667,0.8296666666666667,,,0,,"(0.13999999999999999, 1.1]",,
Colt Keith,hit,5.964637421665175,2.0,True,6.0,0.9941062369441958,,2.234,2.2076666666666664,,,0,,"(1.97, 2.219]",,
Alec Burleson,hit,5.769064748201439,2.0,True,6.0,0.9615107913669064,,2.78,2.566,,,0,,"(2.534, 2.864]",,
Ryan McMahon,hit,5.73439099283521,2.0,True,6.0,0.9557318321392017,,2.6053333333333333,2.3746666666666667,,,0,,"(2.219, 2.375]",,
Austin Wells,hit,5.520712988942069,2.0,True,5.0,1.1041425977884138,,2.0196666666666667,2.440333333333333,,,0,,"(2.375, 2.534]",,
Michael Toglia,hit,5.508970665269775,2.0,True,7.0,0.7869958093242535,,2.545333333333333,1.461,,,0,,"(1.418, 1.709]",,
AJ Smith-Shawver,pit,5.504889975550121,2.0,True,2.0,2.7524449877750605,Injury Baseline Distortion,0.2337142857142857,1.0528571428571427,reliever,reliever,1,reliever,"(0.13999999999999999, 1.1]",,
Lars Nootbaar,hit,5.360457123217048,2.0,True,5.0,1.0720914246434097,,1.9396666666666669,2.219333333333333,,,0,,"(1.97, 2.219]",,
Luis Rengifo,hit,5.340047865975269,2.0,True,5.0,1.0680095731950536,,1.6713333333333336,1.8986666666666667,,,0,,"(1.709, 1.97]",,
Max Muncy,hit,5.339775561097257,2.0,True,5.0,1.0679551122194515,,2.1386666666666665,2.4293333333333336,,,0,,"(2.375, 2.534]",,
Bryson Stott,hit,5.222331269817304,2.0,True,5.0,1.0444662539634608,,2.2076666666666664,2.404,,,0,,"(2.375, 2.534]",,
Nico Hoerner,hit,5.210631895687062,2.0,True,5.0,1.0421263791374122,,2.3263333333333334,2.522333333333333,,,0,,"(2.375, 2.534]",,
Nathaniel Lowe,hit,5.127067769477054,2.0,True,5.0,1.0254135538954108,,2.498666666666667,2.6256666666666666,,,0,,"(2.534, 2.864]",,
Casey Mize,pit,5.126588235294118,2.0,True,4.0,1.2816470588235296,,1.0625,1.661,starter,starter,0,starter,"(1.418, 1.709]",,
JJ Bleday,hit,5.125525599802128,2.0,True,6.0,0.8542542666336879,,2.6953333333333336,1.9096666666666668,,,0,,"(1.709, 1.97]",,
Ceddanne Rafaela,hit,5.102943117328758,2.0,True,5.0,1.0205886234657515,,2.525666666666667,2.629666666666667,,,0,,"(2.534, 2.864]",,
Sal Frelick,hit,4.826641651031895,2.0,True,4.0,1.2066604127579736,,1.7766666666666668,2.511,,,0,,"(2.375, 2.534]",,
Brendan Donovan,hit,4.664078542094456,2.0,True,5.0,0.9328157084188912,,2.5973333333333333,2.248333333333333,,,0,,"(2.219, 2.375]",,
Bryan Abreu,pit,4.5898285268901,2.0,True,5.0,0.91796570537802,,3.665714285714286,3.064285714285714,reliever,reliever,0,reliever,"(2.864, 3.158]",,
Grant Holmes,pit,4.582777314428691,2.0,True,5.0,0.9165554628857382,Role Change,1.7128571428571426,1.427,reliever,starter,1,starter,"(1.418, 1.709]",,
Luis Severino,pit,4.521641438032166,2.0,True,5.0,0.9043282876064332,,2.1140000000000003,1.7094999999999998,starter,starter,0,starter,"(1.418, 1.709]",,
Jonathan India,hit,4.471271788250483,2.0,True,5.0,0.8942543576500968,,2.581666666666667,2.0356666666666667,,,0,,"(1.97, 2.219]",,
Trevor Story,hit,4.291469194312796,2.0,True,2.0,2.145734597156398,,0.9846666666666668,3.241,,,0,,"(3.158, 4.916]",,
Connor Norby,hit,4.282873926796205,2.0,True,4.0,1.0707184816990512,,1.4753333333333334,1.6840000000000002,,,0,,"(1.418, 1.709]",,
Clay Holmes,pit,4.049802095898673,2.0,True,5.0,0.8099604191797346,Role Change,2.68502024291498,1.6645,closer,starter,1,starter,"(1.418, 1.709]",,
Max Muncy,hit,3.99781795511222,2.0,True,5.0,0.7995635910224439,,2.1386666666666665,1.2813333333333332,,,0,,"(1.1, 1.418]",,
Chris Bassitt,pit,3.948679621325361,2.0,True,4.0,0.9871699053313404,,2.007,1.9555,starter,starter,0,starter,"(1.709, 1.97]",,
Lucas Erceg,pit,3.932098765432099,2.0,True,4.0,0.9830246913580248,,2.314285714285714,2.2357142857142858,reliever,reliever,0,reliever,"(2.219, 2.375]",,
Cedric Mullins,hit,3.910925539318024,2.0,True,4.0,0.977731384829506,,2.395,2.288333333333333,,,0,,"(2.219, 2.375]",,
Lourdes Gurriel Jr.,hit,3.8729885763419727,2.0,True,4.0,0.9682471440854932,,2.7136666666666667,2.541333333333333,,,0,,"(2.534, 2.864]",,
Cade Smith,pit,3.8154545454545454,2.0,True,4.0,0.9538636363636364,,3.142857142857143,2.852857142857143,reliever,reliever,0,reliever,"(2.534, 2.864]",,
Jason Adam,pit,3.8043377941855097,2.0,True,4.0,0.9510844485463774,,3.095714285714286,2.7928571428571427,reliever,reliever,0,reliever,"(2.534, 2.864]",,
Jake McCarthy,hit,3.745121585109577,2.0,True,5.0,0.7490243170219153,,2.2206666666666663,1.106,,,0,,"(1.1, 1.418]",,
Andrew Vaughn,hit,3.686958838417477,2.0,True,4.0,0.9217397096043692,,2.502333333333333,2.1106666666666665,,,0,,"(1.97, 2.219]",,
Jordan Walker,hit,3.5965147453083106,2.0,True,3.0,1.1988382484361035,,1.119,1.5639999999999998,,,0,,"(1.418, 1.709]",,
Michael Conforto,hit,3.4845580404685834,2.0,True,4.0,0.8711395101171459,,2.5040000000000004,1.8586666666666667,,,0,,"(1.709, 1.97]",,
Christian Encarnacion-Strand,hit,3.3999608457321853,2.0,True,3.0,1.1333202819107284,,0.8513333333333333,1.0783333333333334,,,0,,"(0.13999999999999999, 1.1]",,
Ryan Mountcastle,hit,3.364596902590824,2.0,True,4.0,0.8411492256477059,,2.3030000000000004,1.5713333333333337,,,0,,"(1.418, 1.709]",,
Reese Olson,pit,3.3475974761365475,2.0,True,3.0,1.1158658253788492,Role Change,1.3245,1.6314285714285717,starter,reliever,1,reliever,"(1.418, 1.709]",,
Jordan Romano,pit,3.3382130461867043,2.0,True,2.0,1.6691065230933522,,0.6065856950067476,1.4183265856950067,closer,closer,0,closer,"(1.1, 1.418]",,
Erick Fedde,pit,3.263418253771952,2.0,True,4.0,0.8158545634429879,,2.0215,1.277,starter,starter,0,starter,"(1.1, 1.418]",,
Brayan Bello,pit,3.120987654320988,2.0,True,3.0,1.040329218106996,,1.8225,1.9695,starter,starter,0,starter,"(1.709, 1.97]",,
Griffin Jax,pit,3.065950170981925,2.0,True,3.0,1.0219833903273083,,2.9242857142857144,3.052857142857143,reliever,reliever,0,reliever,"(2.864, 3.158]",,
Orion Kerkering,pit,3.0457792207792203,2.0,True,3.0,1.01525974025974,,2.2,2.267142857142857,reliever,reliever,0,reliever,"(2.219, 2.375]",,
Michael Wacha,pit,2.936453576864536,2.0,True,3.0,0.9788178589548452,,1.971,1.8875,starter,starter,0,starter,"(1.709, 1.97]",,
Garrett Mitchell,hit,2.9056284384257296,2.0,True,4.0,0.7264071096064324,,1.5753333333333337,0.7133333333333333,,,0,,"(0.13999999999999999, 1.1]",,
Daulton Varsho,hit,2.886129905277402,2.0,True,3.0,0.962043301759134,,2.4633333333333334,2.276333333333333,,,0,,"(2.219, 2.375]",,
Ryan Weathers,pit,2.834349452681169,2.0,True,3.0,0.9447831508937232,Role Change,1.031,0.9171428571428571,starter,reliever,1,reliever,"(0.13999999999999999, 1.1]",,
Ben Joyce,pit,2.8324968632371395,2.0,True,5.0,0.5664993726474279,,1.1385714285714286,0.1514285714285714,reliever,reliever,0,reliever,"(0.13999999999999999, 1.1]",,
Joey Ortiz,hit,2.764970733903647,2.0,True,3.0,0.9216569113012156,,2.221,1.873,,,0,,"(1.709, 1.97]",,
Luke Weaver,pit,2.698208543867708,2.0,True,3.0,0.8994028479559026,,3.11,2.4842857142857144,reliever,reliever,0,reliever,"(2.375, 2.534]",,
David Festa,pit,2.649152542372881,2.0,True,3.0,0.8830508474576271,,1.6857142857142855,1.2914285714285714,reliever,reliever,0,reliever,"(1.1, 1.418]",,
Yennier Cano,pit,2.5665171898355754,2.0,True,3.0,0.8555057299451918,,2.867142857142857,2.0385714285714287,reliever,reliever,0,reliever,"(1.97, 2.219]",,
Parker Meadows,hit,2.50457347385166,2.0,True,3.0,0.83485782461722,,1.6763333333333332,1.1226666666666665,,,0,,"(1.1, 1.418]",,
Gavin Sheets,hit,2.417455896007428,2.0,True,2.0,1.208727948003714,,1.7950000000000002,2.5443333333333333,,,0,,"(2.534, 2.864]",,
Seth Halvorsen,pit,2.271396056156465,2.0,True,1.0,2.271396056156465,Role Change,0.3828571428571428,1.35638326585695,reliever,closer,1,closer,"(1.1, 1.418]",,
Zack Gelof,hit,2.0104724048310656,2.0,True,3.0,0.6701574682770218,,2.180333333333333,0.742,,,0,,"(0.13999999999999999, 1.1]",,
Max Scherzer,pit,1.977637130801688,2.0,True,2.0,0.988818565400844,Role Change,1.0157142857142858,0.993,reliever,starter,1,starter,"(0.13999999999999999, 1.1]",,
Will Warren,pit,1.9292352941176472,2.0,True,1.0,1.9292352941176472,Role Change,0.6071428571428571,1.7355,reliever,starter,1,starter,"(1.709, 1.97]",,
Jordan Beck,hit,1.8477195627591405,2.0,True,1.0,1.8477195627591405,,0.8843333333333334,2.3836666666666666,,,0,,"(2.375, 2.534]",,
Jameson Taillon,pit,1.814296616636988,2.0,True,2.0,0.907148308318494,,1.9655,1.6004999999999998,starter,starter,0,starter,"(1.418, 1.709]",,
Ryan Jeffers,hit,1.8101007350939289,2.0,True,2.0,0.9050503675469644,,2.4486666666666665,1.9836666666666665,,,0,,"(1.97, 2.219]",,
A.J. Puk,pit,1.7337768168575556,2.0,True,3.0,0.5779256056191852,Role Change,2.455714285714285,0.3827260458839406,reliever,closer,1,closer,"(0.13999999999999999, 1.1]",,
Luis Gil,pit,1.6653726708074534,2.0,True,2.0,0.8326863354037267,Role Change,1.84,1.2242857142857142,starter,reliever,1,reliever,"(1.1, 1.418]",,
Rhys Hoskins,hit,1.6554755219142965,2.0,True,2.0,0.8277377609571481,,2.7303333333333337,1.7896666666666667,,,0,,"(1.709, 1.97]",,
Kirby Yates,pit,1.5823704602487385,2.0,True,2.0,0.7911852301243691,Role Change,2.936275303643725,1.71,closer,reliever,1,reliever,"(1.709, 1.97]",,
Jack Leiter,pit,1.5767574692442885,2.0,True,1.0,1.5767574692442885,Role Change,0.812857142857143,1.7505000000000002,reliever,starter,1,starter,"(1.709, 1.97]",,
Matthew Boyd,pit,1.575735294117647,2.0,True,1.0,1.575735294117647,Role Change,1.02,2.1945,reliever,starter,1,starter,"(1.97, 2.219]",,
Brooks Lee,hit,1.572668810289389,2.0,True,1.0,1.572668810289389,,1.0366666666666666,2.224,,,0,,"(2.219, 2.375]",,
Edwin Uceta,pit,1.5273088381330684,2.0,True,1.0,1.5273088381330684,,1.4385714285714286,2.955714285714285,reliever,reliever,0,reliever,"(2.864, 3.158]",,
Tyler Fitzgerald,hit,1.510081915563957,2.0,True,2.0,0.7550409577819786,,2.116,1.0793333333333333,,,0,,"(0.13999999999999999, 1.1]",,
Jonathan Aranda,hit,1.4702349172450615,2.0,True,1.0,1.4702349172450615,,1.2486666666666666,2.423,,,0,,"(2.375, 2.534]",,
Clarke Schmidt,pit,1.4499667110519308,2.0,True,2.0,0.7249833555259654,Role Change,2.145714285714285,0.9655,reliever,starter,1,starter,"(0.13999999999999999, 1.1]",,
Ben Brown,pit,1.443524829600779,2.0,True,1.0,1.443524829600779,,1.467142857142857,2.7685714285714287,reliever,reliever,0,reliever,"(2.534, 2.864]",,
Austin Hays,hit,1.3928215353938185,2.0,True,1.0,1.3928215353938185,,1.3373333333333337,2.388,,,0,,"(2.375, 2.534]",,
Joel Payamps,pit,1.3412947831552482,2.0,True,2.0,0.6706473915776241,,2.2728571428571427,0.7757142857142857,reliever,reliever,0,reliever,"(0.13999999999999999, 1.1]",,
Jeimer Candelario,hit,1.258405520481574,2.0,True,2.0,0.629202760240787,,2.2703333333333333,0.5866666666666667,,,0,,"(0.13999999999999999, 1.1]",,
Curtis Mead,hit,1.2498943810730885,2.0,True,1.0,1.2498943810730885,,0.789,1.1833333333333331,,,0,,"(1.1, 1.418]",,
Andy Pages,hit,1.2127937336814625,2.0,True,1.0,1.2127937336814625,,2.170333333333333,3.0940000000000003,,,0,,"(2.864, 3.158]",,
Jo Adell,hit,1.2078006033615858,2.0,True,1.0,1.2078006033615858,,2.3203333333333336,3.284666666666667,,,0,,"(3.158, 4.916]",,
